epoch,accuracy,loss
1,0.8293717205524445,0.38356439769268036
2,0.9151920676231384,0.22148272395133972
3,0.9468435943126678,0.1388745717704296
4,0.978580504655838,0.07916642352938652
5,0.9858117997646332,0.051929276436567307
